Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,Keywords
647,Ireland,77,0,Basic,Statistics,Statistics,Stem and Leaf diagram
41,Portugal,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
340,Portugal,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
641,Italy,77,0,Basic,Statistics,Statistics,Stem and Leaf diagram
669,Portugal,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
697,Portugal,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
720,Portugal,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
675,Portugal,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
663,Portugal,77,0,Basic,Statistics,Statistics,Stem and Leaf diagram
28,Portugal,77,0,Basic,Statistics,Statistics,Stem and Leaf diagram
953,Lithuania,77,0,Basic,Statistics,Statistics,Stem and Leaf diagram
636,Italy,77,1,Basic,Statistics,Statistics,Stem and Leaf diagram
639,Italy,77,0,Basic,Statistics,Statistics,Stem and Leaf diagram
684,Ireland,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
683,Ireland,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
725,Portugal,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
57,Portugal,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
690,Portugal,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
675,Portugal,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
679,Portugal,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
663,Portugal,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
638,Italy,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
953,Lithuania,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
637,Italy,78,0,Basic,Statistics,Statistics,Stem and Leaf diagram
658,Ireland,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
647,Ireland,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
657,Ireland,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
674,Ireland,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
41,Portugal,79,1,Basic,Statistics,Statistics,Stem and Leaf diagram
41,Portugal,79,1,Basic,Statistics,Statistics,Stem and Leaf diagram
651,Ireland,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
1505,Portugal,79,1,Basic,Statistics,Statistics,Stem and Leaf diagram
664,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
699,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
67,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
57,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
57,Portugal,79,0,Basic,Statistics,Statistics,Stem and Leaf diagram
